,,
LiperiAir 850 Mah 3s lipo,2,29.98
Bambu tpu for ams black,1,38.99
bambu petg red,1,19.99
rs 2205 2300kv motor,1,12.96
hobbywing skywalker 20amp,1,9.9
30A ESC Brushed Electronic Speed Controller,2,19.98
5PCS Mini N20 Gear Motor DC 3V-6V,1,8.99
uxcell M5 x 50mm 12.9 Alloy Steel Hex Socket Head Cap Screw Bolt Black 20pcs,1,9.99
100PCS M5 Locknuts Metric Nylon Inserted Hex Lock Nuts  ,1,5.99
Tamiya Mini Power Switch (2pk),1,2.45
Pocket Radio Controller (M2),1,64.99
Radiomaster ER4 reciever,1,14.99
,,
Sales tax/shipping,,idk
,,
,,
,,
,,
,,239.2
